run_name,status,experiment_type,classifier_label,preprocessing.mode,preprocessing.image_size,feature_extraction.backbone,classifier.name,classifier.params,loaded_from_cache,fit_time_seconds,feature_dir,model,accuracy,precision_macro,recall_macro,f1_macro,wrong_predictions,total_samples,error_rate,roc_auc
108__mode-augmented__size-224__backbone-efficientnet_b0__clf-votingsoft_default,ok,ensemble,VotingSoft_default,augmented,224,efficientnet_b0,voting_soft,"{""voting"": ""soft"", ""n_jobs"": -1, ""lr"": {""C"": 0.1, ""max_iter"": 3000, ""n_jobs"": -1}, ""svm"": {""C"": 0.1, ""probability"": true}, ""rf"": {""n_estimators"": 100, ""n_jobs"": -1}}",True,46.841063,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,108__mode-augmented__size-224__backbone-efficientnet_b0__clf-votingsoft_default,0.9970089730807578,0.9970238095238095,0.9970119521912351,0.9970089611880657,3,1003,0.0029910269192422734,0.9999483105502143
099__mode-augmented__size-224__backbone-efficientnet_b0__clf-lr_c0.1,ok,base,LR_C0.1,augmented,224,efficientnet_b0,logistic_regression,"{""C"": 0.1, ""max_iter"": 3000, ""class_weight"": null, ""n_jobs"": -1}",False,83.627587,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,099__mode-augmented__size-224__backbone-efficientnet_b0__clf-lr_c0.1,0.9970089730807578,0.9970238095238095,0.9970119521912351,0.9970089611880657,3,1003,0.0029910269192422734,0.9999721672193461
109__mode-augmented__size-224__backbone-efficientnet_b0__clf-stacking_default,ok,ensemble,Stacking_default,augmented,224,efficientnet_b0,stacking,"{""n_jobs"": -1, ""lr"": {""C"": 0.1, ""max_iter"": 3000, ""n_jobs"": -1}, ""svm"": {""C"": 0.1, ""probability"": true}, ""rf"": {""n_estimators"": 100, ""n_jobs"": -1}, ""final_max_iter"": 3000}",True,223.318028,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,109__mode-augmented__size-224__backbone-efficientnet_b0__clf-stacking_default,0.9970089730807578,0.9970238095238095,0.9970119521912351,0.9970089611880657,3,1003,0.0029910269192422734,0.9999244538810824
076__mode-letterbox__size-224__backbone-efficientnet_b0__clf-stacking_default,ok,ensemble,Stacking_default,letterbox,224,efficientnet_b0,stacking,"{""n_jobs"": -1, ""lr"": {""C"": 0.1, ""max_iter"": 3000, ""n_jobs"": -1}, ""svm"": {""C"": 0.1, ""probability"": true}, ""rf"": {""n_estimators"": 100, ""n_jobs"": -1}, ""final_max_iter"": 3000}",True,232.601939,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-letterbox__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,076__mode-letterbox__size-224__backbone-efficientnet_b0__clf-stacking_default,0.996011964107677,0.9960178926441352,0.9960139481992191,0.996011960143458,4,1003,0.003988035892323031,0.9999642149963022
010__mode-stretch__size-224__backbone-efficientnet_b0__clf-stacking_default,ok,ensemble,Stacking_default,stretch,224,efficientnet_b0,stacking,"{""n_jobs"": -1, ""lr"": {""C"": 0.1, ""max_iter"": 3000, ""n_jobs"": -1}, ""svm"": {""C"": 0.1, ""probability"": true}, ""rf"": {""n_estimators"": 100, ""n_jobs"": -1}, ""final_max_iter"": 3000}",True,220.981887,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-stretch__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,010__mode-stretch__size-224__backbone-efficientnet_b0__clf-stacking_default,0.9950149551345963,0.9950159442072031,0.9950159442072031,0.9950149551345963,5,1003,0.004985044865403789,0.9998687883197748
034__mode-center_crop__size-224__backbone-efficientnet_b0__clf-lr_c1.0,ok,base,LR_C1.0,center_crop,224,efficientnet_b0,logistic_regression,"{""C"": 1.0, ""max_iter"": 3000, ""class_weight"": null, ""n_jobs"": -1}",True,0.564072,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-center_crop__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,034__mode-center_crop__size-224__backbone-efficientnet_b0__clf-lr_c1.0,0.9950149551345963,0.9950178926441352,0.9950139561514422,0.9950149353134428,5,1003,0.004985044865403789,0.9998568599852089
075__mode-letterbox__size-224__backbone-efficientnet_b0__clf-votingsoft_default,ok,ensemble,VotingSoft_default,letterbox,224,efficientnet_b0,voting_soft,"{""voting"": ""soft"", ""n_jobs"": -1, ""lr"": {""C"": 0.1, ""max_iter"": 3000, ""n_jobs"": -1}, ""svm"": {""C"": 0.1, ""probability"": true}, ""rf"": {""n_estimators"": 100, ""n_jobs"": -1}}",True,49.851682,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-letterbox__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,075__mode-letterbox__size-224__backbone-efficientnet_b0__clf-votingsoft_default,0.9950149551345963,0.99502974202373,0.9950179322629641,0.9950149353134428,5,1003,0.004985044865403789,0.9999483105502143
066__mode-letterbox__size-224__backbone-efficientnet_b0__clf-lr_c0.1,ok,base,LR_C0.1,letterbox,224,efficientnet_b0,logistic_regression,"{""C"": 0.1, ""max_iter"": 3000, ""class_weight"": null, ""n_jobs"": -1}",False,86.50631,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-letterbox__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,066__mode-letterbox__size-224__backbone-efficientnet_b0__clf-lr_c0.1,0.9950149551345963,0.99502974202373,0.9950179322629641,0.9950149353134428,5,1003,0.004985044865403789,0.9999562627732582
100__mode-augmented__size-224__backbone-efficientnet_b0__clf-lr_c1.0,ok,base,LR_C1.0,augmented,224,efficientnet_b0,logistic_regression,"{""C"": 1.0, ""max_iter"": 3000, ""class_weight"": null, ""n_jobs"": -1}",True,0.634025,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,100__mode-augmented__size-224__backbone-efficientnet_b0__clf-lr_c1.0,0.9950149551345963,0.9950592885375493,0.9950199203187251,0.9950148758490367,5,1003,0.004985044865403789,0.9999602388847801
037__mode-center_crop__size-224__backbone-efficientnet_b0__clf-svmlinear_c1.0,ok,base,SVMLinear_C1.0,center_crop,224,efficientnet_b0,svm_linear,"{""C"": 1.0, ""probability"": true, ""class_weight"": null}",True,12.790265,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-center_crop__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,037__mode-center_crop__size-224__backbone-efficientnet_b0__clf-svmlinear_c1.0,0.9950149551345963,0.995035587896139,0.9950119680956812,0.9950148758490367,5,1003,0.004985044865403789,0.9997892660893353
